tripType,hotelName,Count,Type,Stars,English Name
COUPLES,Nam Nghi Coral Peninsula Phu Quoc,100,Resort,5,Nam Nghi Coral Peninsula Phu Quoc
COUPLES,Premier Village Phu Quoc Resort - Managed by Accor,100,Resort,,Premier Village Phu Quoc Resort - Managed by Accor
FRIENDS,Khu Nghỉ Dưỡng Fusion Resort Phú Quốc,97,Resort,,Fusion Resort Phu Quoc
NONE,Angsana Lang Co Vietnam,96,Resort,5,Angsana Lang Co Vietnam
FRIENDS,Phong Nha Lake House Resort,96,Resort,,Phong Nha Lake House Resort
FRIENDS,Premier Village Phu Quoc Resort - Managed by Accor,96,Resort,,Premier Village Phu Quoc Resort - Managed by Accor
NONE,Khu Nghỉ Dưỡng Chen Sea & Spa,95,Resort,4,Chen Sea Resort & Spa
COUPLES,Green Hope Lodge,93,Homestay / Farmstay / House / Lodge / Eco,,Green Hope Lodge
COUPLES,Mekong Riverside Boutique Resort & Spa,91,Resort,,Mekong Riverside Boutique Resort & Spa
FAMILY,Phong Nha Lake House Resort,91,Resort,,Phong Nha Lake House Resort
NONE,L'Alya Ninh Vân Bay,89,Resort,5,L'Alya Ninh Van Bay
NONE,Six Senses Ninh Van Bay,89,Resort,5,Six Senses Ninh Van Bay
COUPLES,Amanoi,88,Resort,5,Amanoi
NONE,Ana Mandara Villas Dalat Resort & Spa,88,Resort,,Ana Mandara Villas Dalat Resort & Spa
FRIENDS,JW Marriott Phu Quoc Emerald Bay Resort & Spa,88,Resort,5,JW Marriott Phu Quoc Emerald Bay Resort & Spa
FAMILY,Khu nghỉ dưỡng & Spa Bãi Biển Hồ Tràm,88,Resort,4,Ho Tram Beach Resort & Spa
COUPLES,Chez Carole Beach Resort,87,Resort,,Chez Carole Beach Resort
FAMILY,Premier Residences Phu Quoc Emerald Bay Managed by Accor,85,Resort,5,Premier Residences Phu Quoc Emerald Bay Managed by Accor
NONE,Radisson Blu Resort Phu Quoc,84,Resort,,Radisson Blu Resort Phu Quoc
FRIENDS,The Anam,84,Resort,5,The Anam
FRIENDS,Green Bamboo Lodge,83,Homestay / Farmstay / House / Lodge / Eco,,Green Bamboo Lodge
COUPLES,Jungle Boss Homestay,81,Homestay / Farmstay / House / Lodge / Eco,,Jungle Boss Homestay
FAMILY,Vinpearl Discovery Wonderworld Phú Quốc,81,Resort,5,Vinpearl Discovery Wonderworld Phu Quoc
FRIENDS,Khu Nghỉ Dưỡng Chen Sea & Spa,80,Resort,4,Chen Sea Resort & Spa
COUPLES,Mountain View Hotel,79,Hotel,,Mountain View Hotel
FAMILY,Mövenpick Resort Waverly Phu Quoc,79,Resort,,Mövenpick Resort Waverly Phu Quoc
FAMILY,New World Phu Quoc Resort,75,Resort,,New World Phu Quoc Resort
COUPLES,Forest Floor Lodge,74,Homestay / Farmstay / House / Lodge / Eco,,Forest Floor Lodge
FAMILY,Vinpearl Discovery Greenhill Phú Quốc,74,Resort,5,Vinpearl Discovery Greenhill Phu Quoc
NONE,Lapochine Beach Resort,72,Resort,,Lapochine Beach Resort
FAMILY,The Island Lodge,72,Homestay / Farmstay / House / Lodge / Eco,,The Island Lodge
NONE,Khách Sạn Radisson Blu Cam Ranh,71,Resort,5,Radisson Blu Cam Ranh Hotel
COUPLES,Khu nghỉ dưỡng Chày Lập Farmstay,71,Homestay / Farmstay / House / Lodge / Eco,,Chay Lap Farmstay Resort
FRIENDS,Six Senses Ninh Van Bay,70,Resort,5,Six Senses Ninh Van Bay
COUPLES,Camia Resort & Spa,67,Resort,,Camia Resort & Spa
NONE,VinOasis Phu Quoc,65,Resort,4,VinOasis Phu Quoc
COUPLES,Khách sạn Thiên Thanh,64,Resort,5,Thien Thanh Hotel
FAMILY,Nam Nghi Coral Peninsula Phu Quoc,63,Resort,5,Nam Nghi Coral Peninsula Phu Quoc
FAMILY,Alma Resort Cam Ranh,62,Resort,,Alma Resort Cam Ranh
COUPLES,Nguyen Shack - Phong Nha Eco Resort,61,Resort,,Nguyen Shack - Phong Nha Eco Resort
SOLO,Green Bamboo Lodge,60,Homestay / Farmstay / House / Lodge / Eco,,Green Bamboo Lodge
FRIENDS,Lapochine Beach Resort,60,Resort,,Lapochine Beach Resort
FAMILY,Fleur de Lys Resort & Spa Long Hai,59,Resort,,Fleur de Lys Resort & Spa Long Hai
NONE,Peppercorn Beach Resort,59,Resort,,Peppercorn Beach Resort
COUPLES,Nguyen Shack - Phong Nha,58,Bungalow / Villa / Retreat,,Nguyen Shack - Phong Nha
FAMILY,Oasis Hotel,58,Hotel,,Oasis Hotel
NONE,Nam Nghi Coral Peninsula Phu Quoc,57,Resort,5,Nam Nghi Coral Peninsula Phu Quoc
FRIENDS,Ana Mandara Villas Dalat Resort & Spa,56,Resort,,Ana Mandara Villas Dalat Resort & Spa
NONE,Mövenpick Resort Waverly Phu Quoc,56,Resort,,Mövenpick Resort Waverly Phu Quoc
SOLO,Nguyen Shack - Phong Nha,56,Bungalow / Villa / Retreat,,Nguyen Shack - Phong Nha
COUPLES,Phong Nha Mountain House,56,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Mountain House
COUPLES,Premier Residences Phu Quoc Emerald Bay Managed by Accor,56,Resort,5,Premier Residences Phu Quoc Emerald Bay Managed by Accor
NONE,Sheraton Phu Quoc Long Beach Resort,56,Resort,5,Sheraton Phu Quoc Long Beach Resort
COUPLES,VinOasis Phu Quoc,56,Resort,4,VinOasis Phu Quoc
COUPLES,Jungle Beach Việt Nam,55,Bungalow / Villa / Retreat,,Jungle Beach Vietnam
NONE,Legacy Yen Tu - MGallery,54,Hotel,5,Legacy Yen Tu - MGallery
FRIENDS,Vedana Lagoon Resort & Spa,54,Resort,,Vedana Lagoon Resort & Spa
COUPLES,Pepperhouse Homestay,53,Homestay / Farmstay / House / Lodge / Eco,,Pepperhouse Homestay
COUPLES,Fleur de Lys Resort & Spa Long Hai,52,Resort,,Fleur de Lys Resort & Spa Long Hai
