tripType,hotelName,Count,Type,Stars,English Name
COUPLES,Khu Nghỉ Dưỡng Cam Ranh Riviera,7,Resort,,Cam Ranh Riviera Resort
COUPLES,Khu nghỉ dưỡng FLC Vĩnh Phúc,7,Resort,,FLC Vinh Phuc Resort
FRIENDS,Kiki Coconut Beach Resort,7,Resort,,Kiki Coconut Beach Resort
NONE,Konklor Hotel,7,Hotel,,Konklor Hotel
SOLO,Little Yen's Homestay,7,Homestay / Farmstay / House / Lodge / Eco,,Little Yen's Homestay
COUPLES,Maia Resort Quy Nhon,7,Resort,,Maia Resort Quy Nhon
FAMILY,Mekong Home,7,Homestay / Farmstay / House / Lodge / Eco,,Mekong Home
FRIENDS,Mekong Home,7,Homestay / Farmstay / House / Lodge / Eco,,Mekong Home
SOLO,Mekong Riverside Boutique Resort & Spa,7,Resort,,Mekong Riverside Boutique Resort & Spa
COUPLES,Mekong Rustic Cai Be,7,,,Mekong Rustic Cai Be
NONE,Meliá Vinpearl Cam Ranh Beach Resort,7,Resort,,Meliá Vinpearl Cam Ranh Beach Resort
SOLO,Meliá Vinpearl Ha Tinh,7,Hotel,,Meliá Vinpearl Ha Tinh
FRIENDS,Mr Hung Guesthouse,7,Guesthouse / Hostel,,Mr Hung Guesthouse
NONE,Mr Linh's Homestay,7,Homestay / Farmstay / House / Lodge / Eco,,Mr Linh's Homestay
SOLO,Nam Thanh Homestay,7,Homestay / Farmstay / House / Lodge / Eco,,Nam Thanh Homestay
COUPLES,New World Phu Quoc Resort,7,Resort,,New World Phu Quoc Resort
NONE,Nguyen Shack - Phong Nha Eco Resort,7,Resort,,Nguyen Shack - Phong Nha Eco Resort
COUPLES,Nhà Nghỉ Ba Danh,7,Guesthouse / Hostel,,Ba Danh Guest House
FRIENDS,Nhà Nghỉ Đinh Gia,7,Guesthouse / Hostel,,Dinh Gia Guest House
NONE,Nhà nghỉ Thảo Nguyên,7,Guesthouse / Hostel,,Thao Nguyen Guesthouse
NONE,Ninh Binh Family Homestay,7,Homestay / Farmstay / House / Lodge / Eco,,Ninh Binh Family Homestay
SOLO,Ninh Binh Mountain Views Homestay,7,Homestay / Farmstay / House / Lodge / Eco,,Ninh Binh Mountain Views Homestay
NONE,Phong Nha Midtown Hotel,7,Hotel,,Phong Nha Midtown Hotel
NONE,Phong Nha Mountain House,7,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Mountain House
FAMILY,Phuong Thao Homestay,7,Homestay / Farmstay / House / Lodge / Eco,,Phuong Thao Homestay
SOLO,Phuong Thao Homestay,7,Homestay / Farmstay / House / Lodge / Eco,,Phuong Thao Homestay
SOLO,Premier Village Phu Quoc Resort - Managed by Accor,7,Resort,,Premier Village Phu Quoc Resort - Managed by Accor
FRIENDS,Pu Luong Treehouse,7,Bungalow / Villa / Retreat,,Pu Luong Treehouse
SOLO,Pu Luong Treehouse,7,Bungalow / Villa / Retreat,,Pu Luong Treehouse
COUPLES,Quê Tôi Village,7,Resort,,Que Toi Village
FRIENDS,Sa House,7,Homestay / Farmstay / House / Lodge / Eco,,In the House
COUPLES,Sai Gon Dong Ha Hotel,7,Hotel,,Sai Gon Dong Ha Hotel
NONE,Sao Mai Hotel,7,Hotel,,Sao Mai Hotel
COUPLES,Shilla Monogram Quangnam Danang,7,,,Shilla Monogram Quangnam Danang
FRIENDS,Son Doong Riverside Homestay,7,Homestay / Farmstay / House / Lodge / Eco,,Son Doong Riverside Homestay
FAMILY,Tam Dao Belvedere Resort,7,Resort,,Tam Dao Belvedere Resort
COUPLES,Tuan Ha Hotel,7,Hotel,,Mr Ha Hotel
COUPLES,Viet Hoang Hotel,7,Hotel,,Viet Hoang Hotel
COUPLES,Village House,7,Homestay / Farmstay / House / Lodge / Eco,,Village House
FAMILY,Vinholidays Fiesta Phú Quốc,7,,,Vinholidays Fiesta Phu Quoc
FRIENDS,Vinpearl Discovery Greenhill Phú Quốc,7,Resort,5,Vinpearl Discovery Greenhill Phu Quoc
COUPLES,Violet Hotel,7,Hotel,,Violet Hotel
COUPLES,Bao Lac Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Bao Lac Homestay
FRIENDS,Bao Lac Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Bao Lac Homestay
COUPLES,Ben Tre Farm Stay,6,Homestay / Farmstay / House / Lodge / Eco,,Ben Tre Farm Stay
FAMILY,Best CM Hotel,6,Hotel,,Best CM Hotel
COUPLES,Bho Hoong Bungalows,6,Bungalow / Villa / Retreat,,Bho Hoong Bungalows
FAMILY,Bliss Hội An Beach Resort & Wellness,6,Resort,,Bliss Hội An Beach Resort & Wellness
SOLO,Cat Tien Jungle Lodge,6,Homestay / Farmstay / House / Lodge / Eco,,Cat Tien Jungle Lodge
COUPLES,Chuong Duong Hotel,6,Hotel,,Chuong Duong Hotel
COUPLES,Coco Happy Farm,6,Homestay / Farmstay / House / Lodge / Eco,,Coco Happy Farm
FAMILY,Cosiana Resort,6,Resort,,Cosiana Resort
COUPLES,Cuu Long A Hotel,6,Hotel,,Cuu Long A Hotel
FAMILY,Dịch vụ lưu trú du lịch Duyên Quê,6,Homestay / Farmstay / House / Lodge / Eco,,Duyen Que tourist accommodation service
SOLO,Eco Floor Bird Song Lodge,6,Homestay / Farmstay / House / Lodge / Eco,,Eco Floor Bird Song Lodge
FAMILY,Elwood Premier Resort,6,Resort,,Elwood Premier Resort
COUPLES,For You Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,For You Homestay
BUSINESS,Fusion Resort Cam Ranh,6,Resort,,Fusion Resort Cam Ranh
COUPLES,Green Valley Hotel,6,Hotel,,Green Valley Hotel
FRIENDS,Hillside View Bungalow,6,Bungalow / Villa / Retreat,,Hillside View Bungalow
COUPLES,Hồng My Hotel,6,Hotel,,Hong My Hotel
SOLO,Ivory Falls Villa,6,Bungalow / Villa / Retreat,,Ivory Falls Villa
BUSINESS,Khách Sạn Becamex Thành Phố Mới,6,Hotel,,Becamex New City Hotel
NONE,Khách sạn Heritage by Night,6,Hotel,,Heritage by Night Hotel
BUSINESS,Khách sạn Hòa Binh 1,6,Hotel,,Hoa Binh Hotel 1
FAMILY,Khách sạn Hoa Cương,6,Hotel,,Hoa Cuong Hotel
FRIENDS,Khách sạn Memories,6,Hotel,,Memories Hotel
BUSINESS,Khách sạn Mường Thanh Grand Quảng Nam,6,Hotel,,Muong Thanh Grand Quang Nam Hotel
BUSINESS,Khách Sạn Mường Thanh Luxury Cà Mau,6,Hotel,,Muong Thanh Luxury Ca Mau Hotel
FRIENDS,Khách Sạn Mỹ Lan,6,Hotel,,My Lan Hotel
COUPLES,Khách sạn Rạng Đông,6,Hotel,,Rang Dong Hotel
SOLO,Khách sạn River,6,Hotel,,River Hotel
COUPLES,Khu du lịch nghỉ dưỡng TamThanh,6,Resort,,Tam Thanh resort
SOLO,Khu du lịch sinh thái Him Lam,6,Homestay / Farmstay / House / Lodge / Eco,,Him Lam eco-tourism area
BUSINESS,Khu nghỉ dưỡng Bãi biển Lăng Cô,6,Resort,3,Lang Co Beach Resort
COUPLES,Khu nghỉ dưỡng Sepon Boutique,6,Resort,,Sepon Boutique Resort
NONE,Khu nghỉ dưỡng và Spa Wild Beachs,6,Resort,,Wild Beachs Resort and Spa
COUPLES,Kim Co Hotel 2,6,Hotel,,Kim Co Hotel 2
FRIENDS,La Casa Resort,6,Resort,,The House Resort
FAMILY,Laguna Park Townhouses,6,,,Laguna Park Townhouses
COUPLES,Lau Thu Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Lau Thu Homestay
FRIENDS,Lau Thu Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Lau Thu Homestay
COUPLES,Lazi Beach Resort & Spa,6,Resort,,Lazi Beach Resort & Spa
FRIENDS,Le Champ Tú Lệ Resort Hot Spring & Spa,6,Resort,,Le Champ Tu Le Resort Hot Spring & Spa
SOLO,Legacy Yen Tu - MGallery,6,Hotel,5,Legacy Yen Tu - MGallery
NONE,Life's A Beach Backpackers,6,Guesthouse / Hostel,,Life's A Beach Backpackers
NONE,Lu Khach Quan,6,,,Lu Khach Quan
NONE,Mekong Pottery Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Mekong Pottery Homestay
SOLO,Melia Ho Tram Beach Resort,6,Resort,,Melia Ho Tram Beach Resort
COUPLES,Melia Vinpearl Tay Ninh,6,Hotel,,Melia Vinpearl Tay Ninh
COUPLES,Mövenpick Resort Cam Ranh,6,Resort,,Mövenpick Resort Cam Ranh
FRIENDS,Nam Thanh Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Nam Thanh Homestay
SOLO,Nguyen Shack - Phong Nha Eco Resort,6,Resort,,Nguyen Shack - Phong Nha Eco Resort
FAMILY,Nhà nghỉ du lịch Green River,6,Guesthouse / Hostel,,Green River tourist motel
NONE,Nhà nghỉ du lịch Green River,6,Guesthouse / Hostel,,Green River tourist motel
FRIENDS,Ninh Binh Eco Garden,6,Homestay / Farmstay / House / Lodge / Eco,,Ninh Binh Eco Garden
SOLO,Ninh Binh Family Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Ninh Binh Family Homestay
BUSINESS,Petro Thai Binh Hotel,6,Hotel,,Petro Thai Binh Hotel
FAMILY,Phong Nha Garden House,6,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Garden House
FAMILY,Phong Nha River House,6,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha River House
NONE,Phong Nha-Tuan Garden House,6,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha-Tuan Garden House
COUPLES,Rừng Gọi,6,Homestay / Farmstay / House / Lodge / Eco,,The Forest Calls
FAMILY,Rừng Gọi,6,Homestay / Farmstay / House / Lodge / Eco,,The Forest Calls
SOLO,Son Tinh Hotel,6,Hotel,,Son Tinh Hotel
FAMILY,Spirit Garden Guesthouse,6,Guesthouse / Hostel,,Spirit Garden Guesthouse
FRIENDS,Spirit Garden Guesthouse,6,Guesthouse / Hostel,,Spirit Garden Guesthouse
SOLO,Spirit Garden Guesthouse,6,Guesthouse / Hostel,,Spirit Garden Guesthouse
SOLO,Sunny Field Eco Stilt House,6,Homestay / Farmstay / House / Lodge / Eco,,Sunny Field Eco Stilt House
FAMILY,Swandor Hotels & Resorts Cam Ranh,6,Resort,,Swandor Hotels & Resorts Cam Ranh
NONE,Swandor Hotels & Resorts Cam Ranh,6,Resort,,Swandor Hotels & Resorts Cam Ranh
COUPLES,The Mira Hotel,6,Hotel,5,The Mira Hotel
FRIENDS,Thinh Vuong Hotel,6,Hotel,,Thinh Vuong Hotel
FRIENDS,Tom Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Tom Homestay
SOLO,Tom Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Tom Homestay
COUPLES,Tràng An Lamia Bungalow,6,Bungalow / Villa / Retreat,,Trang An Lamia Bungalow
COUPLES,Ut Trinh Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Ut Trinh Homestay
NONE,Villa Louise Hue Beach & Spa,6,Bungalow / Villa / Retreat,,Villa Louise Hue Beach & Spa
SOLO,Villa Louise Hue Beach & Spa,6,Bungalow / Villa / Retreat,,Villa Louise Hue Beach & Spa
BUSINESS,Vinholidays Fiesta Phú Quốc,6,,,Vinholidays Fiesta Phu Quoc
SOLO,VinOasis Phu Quoc,6,Resort,4,VinOasis Phu Quoc
COUPLES,Vu`s Homestay,6,Homestay / Farmstay / House / Lodge / Eco,,Vu`s Homestay
FAMILY,Wild Beach Phu Quoc Resort,6,Resort,,Wild Beach Phu Quoc Resort
SOLO,Wild Beach Phu Quoc Resort,6,Resort,,Wild Beach Phu Quoc Resort
FAMILY,Wyndham Garden Cam Ranh Resort,6,Resort,,Wyndham Garden Cam Ranh Resort
FAMILY,Aniise Villa Resort,5,Resort,,Aniise Villa Resort
FRIENDS,Aniise Villa Resort,5,Resort,,Aniise Villa Resort
NONE,Ba Linh Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Ba Linh Homestay
NONE,Becamex Hotel Thu Dau Mot,5,Hotel,3,Becamex Hotel Thu Dau Mot
NONE,Ben Tre Riverside Resort,5,Resort,,Ben Tre Riverside Resort
FRIENDS,Bliss Hội An Beach Resort & Wellness,5,Resort,,Bliss Hội An Beach Resort & Wellness
SOLO,Camia Resort & Spa,5,Resort,,Camia Resort & Spa
FAMILY,Carambola Bungalow,5,Bungalow / Villa / Retreat,,Carambola Bungalow
FRIENDS,Carambola Bungalow,5,Bungalow / Villa / Retreat,,Carambola Bungalow
COUPLES,Cay Sao Beach Resort,5,Resort,,Cay Sao Beach Resort
BUSINESS,Central Hotel,5,Hotel,,Central Hotel
NONE,Central Hotel,5,Hotel,,Central Hotel
FAMILY,Chuong Duong Hotel,5,Hotel,,Chuong Duong Hotel
NONE,Coco Palm Beach Resort & Spa,5,Resort,,Coco Palm Beach Resort & Spa
FRIENDS,Cuu Long Hotel,5,Hotel,,Cuu Long Hotel
FRIENDS,Dong Van Bar Hotel,5,Hotel,,Dong Van Bar Hotel
COUPLES,Du Hung Hotel 2,5,Hotel,,Du Hung Hotel 2
SOLO,Du Hung Hotel 2,5,Hotel,,Du Hung Hotel 2
COUPLES,Dugong Cottage Phu Quoc,5,,,Dugong Cottage Phu Quoc
NONE,Duong Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Duong Homestay
BUSINESS,Fairfield by Marriott South Binh Duong,5,,,Fairfield by Marriott South Binh Duong
NONE,Fairfield by Marriott South Binh Duong,5,,,Fairfield by Marriott South Binh Duong
NONE,For You Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,For You Homestay
COUPLES,Gold Sand Beach Bungalow,5,Bungalow / Villa / Retreat,,Gold Sand Beach Bungalow
COUPLES,Golden Hotel,5,Hotel,,Golden Hotel
SOLO,Hai Phuong Hotel,5,Hotel,,Hai Phuong Hotel
FRIENDS,Happy Family Guesthouse,5,Guesthouse / Hostel,,Happy Family Guesthouse
COUPLES,Homestay Bai Huong - Ngo Khanh,5,Homestay / Farmstay / House / Lodge / Eco,,Homestay Bai Huong - Ngo Khanh
FRIENDS,Hồng My Hotel,5,Hotel,,Hong My Hotel
COUPLES,Hosana Resort & Spa,5,Resort,,Hosana Resort & Spa
FRIENDS,Hưng Phát Bungalow,5,Bungalow / Villa / Retreat,,Hung Phat Bungalow
NONE,Huy Trung Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Huy Trung Homestay
FRIENDS,Indigenous Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Indigenous Homestay
SOLO,Indigenous Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Indigenous Homestay
COUPLES,Isabella Resort,5,Resort,,Isabella Resort
COUPLES,Ke Ga Spa Village,5,Resort,,Ke Ga Spa Village
FAMILY,Ke Ga Spa Village,5,Resort,,Ke Ga Spa Village
FRIENDS,Ke Ga Spa Village,5,Resort,,Ke Ga Spa Village
FRIENDS,Khách sạn Đông Xuyên,5,Hotel,,Dong Xuyen Hotel
FRIENDS,Khách sạn Hoa Cương,5,Hotel,,Hoa Cuong Hotel
FRIENDS,Khách sạn Khánh Phương,5,Hotel,,Khanh Phuong Hotel
SOLO,Khách sạn Khánh Phương,5,Hotel,,Khanh Phuong Hotel
COUPLES,Khách sạn Ngọc Hương,5,Hotel,,Ngoc Huong Hotel
NONE,Khách sạn River,5,Hotel,,River Hotel
NONE,Khách sạn Ruby,5,Hotel,,Ruby Hotel
FAMILY,Khách sạn Thiên Thanh,5,Resort,5,Thien Thanh Hotel
COUPLES,Khu nghỉ dưỡng & Spa Golden Peak,5,Resort,,Golden Peak Resort & Spa
FRIENDS,Khu Nghỉ Dưỡng Sa Huỳnh,5,Resort,,Sa Huynh Resort
FAMILY,Khu nghỉ dưỡng sinh thái Mekong Ecolodge,5,Homestay / Farmstay / House / Lodge / Eco,,Mekong Ecolodge ecological resort
FRIENDS,Khu nghỉ dưỡng sinh thái Mekong Ecolodge,5,Homestay / Farmstay / House / Lodge / Eco,,Mekong Ecolodge ecological resort
COUPLES,Khu Nghỉ Dưỡng Wildland,5,Resort,,Wildland Resort
COUPLES,Kingo Retreat Resort Phu Quoc,5,Resort,,Kingo Retreat Resort Phu Quoc
NONE,Lan Rung Resort & Spa - Phuoc Hai Beach,5,Resort,,Lan Rung Resort & Spa - Phuoc Hai Beach
COUPLES,Làng Du Lịch Mỹ Khanh,5,,,My Khanh Tourist Village
FRIENDS,Làng Du Lịch Mỹ Khanh,5,,,My Khanh Tourist Village
COUPLES,Lien Do Star Hotel,5,Hotel,,Lien Do Star Hotel
BUSINESS,Lotus Resort,5,Resort,,Lotus Resort
NONE,Lua Pu Luong,5,,,Lua Pu Luong
NONE,Mekong Home,5,Homestay / Farmstay / House / Lodge / Eco,,Mekong Home
BUSINESS,Meliá Vinpearl Cam Ranh Beach Resort,5,Resort,,Meliá Vinpearl Cam Ranh Beach Resort
NONE,Melia Vinpearl Tay Ninh,5,Hotel,,Melia Vinpearl Tay Ninh
COUPLES,Minh Tai Hotel,5,Hotel,,Minh Tai Hotel
COUPLES,Mr Hung Guesthouse,5,Guesthouse / Hostel,,Mr Hung Guesthouse
FAMILY,Mường Thanh Holiday Lý Sơn,5,,,Muong Thanh Holiday Ly Son
BUSINESS,Muong Thanh Luxury Phu Tho Hotel,5,Hotel,,Muong Thanh Luxury Phu Tho Hotel
COUPLES,My Hoa Mekong Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,My Hoa Mekong Homestay
NONE,My Hoa Mekong Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,My Hoa Mekong Homestay
FRIENDS,Ngoc Phuong Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Ngoc Phuong Homestay
COUPLES,Nhà khách Xuân Thu,5,Guesthouse / Hostel,,Xuan Thu guest house
FRIENDS,Nhà khách Xuân Thu,5,Guesthouse / Hostel,,Xuan Thu guest house
FAMILY,Nhà nghỉ Thảo Nguyên,5,Guesthouse / Hostel,,Thao Nguyen Guesthouse
NONE,Ninh Binh Mountain Views Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Ninh Binh Mountain Views Homestay
NONE,Palm Hill Resort,5,Resort,,Palm Hill Resort
COUPLES,Pan Pan Houses,5,Homestay / Farmstay / House / Lodge / Eco,,Pan Pan Houses
COUPLES,Phong Nha Amanda Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Amanda Homestay
NONE,Phong Nha Coco House Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha Coco House Homestay
SOLO,Phong Nha Midtown Hotel,5,Hotel,,Phong Nha Midtown Hotel
FAMILY,Phong Nha-Tuan Garden House,5,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha-Tuan Garden House
FRIENDS,Phong Nha-Tuan Garden House,5,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha-Tuan Garden House
SOLO,Phong Nha-Tuan Garden House,5,Homestay / Farmstay / House / Lodge / Eco,,Phong Nha-Tuan Garden House
NONE,Phuong Thao Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Phuong Thao Homestay
BUSINESS,Premier Residences Phu Quoc Emerald Bay Managed by Accor,5,Resort,5,Premier Residences Phu Quoc Emerald Bay Managed by Accor
COUPLES,Pu Luông Eco Garden,5,Homestay / Farmstay / House / Lodge / Eco,,Pu Luong Eco Garden
NONE,Quê Tôi Village,5,Resort,,Que Toi Village
COUPLES,Quoc An Guesthouse,5,Guesthouse / Hostel,,Quoc An Guesthouse
SOLO,Radisson Blu Resort Phu Quoc,5,Resort,,Radisson Blu Resort Phu Quoc
NONE,River Lodge,5,Homestay / Farmstay / House / Lodge / Eco,,River Lodge
SOLO,River Lodge,5,Homestay / Farmstay / House / Lodge / Eco,,River Lodge
SOLO,Rocks Beach Boutique Phú Quốc,5,Bungalow / Villa / Retreat,,Rocks Beach Boutique Phu Quoc
BUSINESS,Sai Gon Dong Ha Hotel,5,Hotel,,Sai Gon Dong Ha Hotel
FAMILY,Sai Gon Suoi Nhum Resort,5,Resort,,Sai Gon Suoi Nhum Resort
FAMILY,Sao Mai Hotel,5,Hotel,,Sao Mai Hotel
COUPLES,Sky Hotel,5,Hotel,,Sky Hotel
COUPLES,Son Doong Bungalow,5,Bungalow / Villa / Retreat,,Son Doong Bungalow
FRIENDS,Song Tien Hotel,5,Hotel,,Song Tien Hotel
FRIENDS,Tam Cốc Sunshine Hotel,5,Hotel,,Tam Coc Sunshine Hotel
COUPLES,Tam Dao Belvedere Resort,5,Resort,,Tam Dao Belvedere Resort
SOLO,Thai Ninh Hotel,5,Hotel,,Thai Ninh Hotel
FRIENDS,Thanh Lich Guesthouse,5,Guesthouse / Hostel,,Thanh Lich Guesthouse
SOLO,Thanh Lich Guesthouse,5,Guesthouse / Hostel,,Thanh Lich Guesthouse
SOLO,Thao Ngan Hotel,5,Hotel,,Thao Ngan Hotel
FAMILY,The Mira Hotel,5,Hotel,5,The Mira Hotel
FRIENDS,The Mira Hotel,5,Hotel,5,The Mira Hotel
COUPLES,The Pier Phú Quốc Resort,5,Resort,,The Pier Phu Quoc Resort
BUSINESS,Thinh Vuong Hotel,5,Hotel,,Thinh Vuong Hotel
FRIENDS,Trang An Eco Homestay,5,Homestay / Farmstay / House / Lodge / Eco,,Trang An Eco Homestay
BUSINESS,Viet Uc Hotel,5,Hotel,,Viet Uc Hotel
FRIENDS,Village House,5,Homestay / Farmstay / House / Lodge / Eco,,Village House
SOLO,Village House,5,Homestay / Farmstay / House / Lodge / Eco,,Village House
FRIENDS,Wyndham Garden Cam Ranh Resort,5,Resort,,Wyndham Garden Cam Ranh Resort
NONE,Wyndham Garden Cam Ranh Resort,5,Resort,,Wyndham Garden Cam Ranh Resort
COUPLES,An Hoa Residence,4,Resort,,An Hoa Residence
BUSINESS,An Lam Retreats Ninh Van Bay,4,Hotel,5,An Lam Retreats Ninh Van Bay
COUPLES,Aurora Hotel Plaza,4,Hotel,,Aurora Hotel Plaza
SOLO,Ba Linh Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Ba Linh Homestay
COUPLES,Bac Ha Boutique,4,,,Bac Ha Boutique
FRIENDS,Bac Ha Threeland Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Bac Ha Threeland Homestay
COUPLES,Banana Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Banana Homestay
SOLO,Bao Lac Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Bao Lac Homestay
BUSINESS,Best CM Hotel,4,Hotel,,Best CM Hotel
NONE,Carambola Bungalow,4,Bungalow / Villa / Retreat,,Carambola Bungalow
COUPLES,Central Backpackers Hostel - Phong Nha,4,Guesthouse / Hostel,,Central Backpackers Hostel - Phong Nha
FRIENDS,Central Hotel,4,Hotel,,Central Hotel
FRIENDS,Chuong Duong Hotel,4,Hotel,,Chuong Duong Hotel
COUPLES,CiCi Homestay Dong Van,4,Homestay / Farmstay / House / Lodge / Eco,,CiCi Homestay Dong Van
SOLO,Cơ sở lưu trú du lịch Happy Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Happy Homestay tourist accommodation facility
NONE,Coco Riverside Lodge,4,Homestay / Farmstay / House / Lodge / Eco,,Coco Riverside Lodge
NONE,Cosiana Resort,4,Resort,,Cosiana Resort
SOLO,Crown Retreat Quy Nhơn Resort,4,Resort,,Crown Retreat Quy Nhon Resort
FRIENDS,Cuu Long A Hotel,4,Hotel,,Cuu Long A Hotel
NONE,Cuu Long A Hotel,4,Hotel,,Cuu Long A Hotel
NONE,Diamond Stars Ben Tre Hotel,4,Hotel,,Diamond Stars Ben Tre Hotel
BUSINESS,Dic Star Hotels & Resorts Vinh Phuc,4,Resort,,Dic Star Hotels & Resorts Vinh Phuc
BUSINESS,Dlgl - Dung Quat Hotel,4,Hotel,,Dlgl - Dung Quat Hotel
COUPLES,Du Hung Hotel 1,4,Hotel,,Du Hung Hotel 1
FRIENDS,Dugong Cottage Phu Quoc,4,,,Dugong Cottage Phu Quoc
FRIENDS,Elwood Premier Resort,4,Resort,,Elwood Premier Resort
SOLO,Flamingo Dai Lai Resort,4,Resort,,Flamingo Dai Lai Resort
COUPLES,Garden Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Garden Homestay
FRIENDS,Golden Hotel,4,Hotel,,Golden Hotel
COUPLES,Green Karst Hostel & Bar,4,Guesthouse / Hostel,,Green Karst Hostel & Bar
SOLO,Green Karst Hostel & Bar,4,Guesthouse / Hostel,,Green Karst Hostel & Bar
NONE,Green Mountain Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Green Mountain Homestay
SOLO,Green Mountain Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Green Mountain Homestay
SOLO,Ho Khanh's Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Ho Khanh's Homestay
FRIENDS,Hoa Binh Hotel,4,Hotel,,Hoa Binh Hotel
BUSINESS,Hoiana Hotel & Suites,4,Hotel,,Hoiana Hotel & Suites
NONE,Hong Thai Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Hong Thai Homestay
FAMILY,Hotel Sao Mai Cai Be,4,Hotel,,Hotel Sao Mai Cai Be
COUPLES,Hugo Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Hugo Homestay
FRIENDS,Hugo Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Hugo Homestay
FRIENDS,Hula Hula Beachfront Phu Quoc,4,,,Hula Hula Beachfront Phu Quoc
NONE,Hưng Phát Bungalow,4,Bungalow / Villa / Retreat,,Hung Phat Bungalow
BUSINESS,Indochine hotel,4,Hotel,,Indochine hotel
FAMILY,Isabella Resort,4,Resort,,Isabella Resort
COUPLES,Island Smiles Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Island Smiles Homestay
FRIENDS,Jardin du Mekong Homestay,4,Homestay / Farmstay / House / Lodge / Eco,,Jardin du Mekong Homestay
FAMILY,Khách sạn Ann,4,Hotel,,Ann Hotel
FRIENDS,Khách sạn Ann,4,Hotel,,Ann Hotel
SOLO,Khách sạn Cong Fu,4,Hotel,,Cong Fu Hotel
BUSINESS,Khách sạn Đông Anh,4,Hotel,,Dong Anh Hotel
BUSINESS,Khách sạn Đông Xuyên,4,Hotel,,Dong Xuyen Hotel
FAMILY,Khách sạn Đông Xuyên,4,Hotel,,Dong Xuyen Hotel
BUSINESS,Khách sạn Hà Nội,4,Hotel,,Hanoi Hotel
FRIENDS,Khách sạn Hà Nội,4,Hotel,,Hanoi Hotel
FRIENDS,Khách Sạn Hoàng Ngọc,4,Hotel,,Hoang Ngoc Hotel
NONE,Khách Sạn Hoàng Ngọc,4,Hotel,,Hoang Ngoc Hotel
SOLO,Khách Sạn Hoàng Ngọc,4,Hotel,,Hoang Ngoc Hotel
NONE,Khách sạn KP,4,Hotel,,KP Hotel
NONE,KHÁCH SẠN LÂM TÙNG,4,Hotel,,LAM Tung HOTEL
COUPLES,Khách sạn Mê Kong Mỹ Tho,4,Hotel,,Mekong My Tho Hotel
SOLO,Khách sạn Memories,4,Hotel,,Memories Hotel
COUPLES,Khách sạn Minh Quân,4,Hotel,,Minh Quan Hotel
NONE,Khách sạn Mường Thanh Grand Hà Tĩnh,4,Hotel,4,Muong Thanh Grand Ha Tinh Hotel
SOLO,Khách sạn Mường Thanh Grand Hà Tĩnh,4,Hotel,4,Muong Thanh Grand Ha Tinh Hotel
NONE,Khách sạn Mường Thanh Grand Quảng Trị,4,Hotel,,Muong Thanh Grand Quang Tri Hotel
FRIENDS,Khách sạn Mường Thanh Lai Châu,4,Hotel,,Muong Thanh Lai Chau Hotel
FAMILY,Khách Sạn Mường Thanh Luxury Cà Mau,4,Hotel,,Muong Thanh Luxury Ca Mau Hotel
