aspect,aspect_no,keywords
Value,6,reasonable
Value,6,reasonable_price
Value,6,reasonably_price
Value,6,value
Value,6,value_money
Value,6,well_worth
Value,6,worth
Food_and_beverage,7,bar
Food_and_beverage,7,beach_bar
Food_and_beverage,7,beer
Food_and_beverage,7,breakfast
Food_and_beverage,7,breakfast_buffet
Food_and_beverage,7,breakfast_good
Food_and_beverage,7,breakfast_include
Food_and_beverage,7,breakfast_lunch
Food_and_beverage,7,buffet
Food_and_beverage,7,buffet_breakfast
Food_and_beverage,7,chef
Food_and_beverage,7,cocktail
Food_and_beverage,7,coffee
Food_and_beverage,7,course
Food_and_beverage,7,delicious
Food_and_beverage,7,delicious_food
Food_and_beverage,7,dinner
Food_and_beverage,7,dish
Food_and_beverage,7,drink
Food_and_beverage,7,eat
Food_and_beverage,7,food
Food_and_beverage,7,food_bevarage
Food_and_beverage,7,food_delicious
Food_and_beverage,7,food_drink
Food_and_beverage,7,food_excellent
Food_and_beverage,7,food_good
Food_and_beverage,7,food_great
Food_and_beverage,7,food_not
Food_and_beverage,7,food_restaurant
Food_and_beverage,7,food_service
Food_and_beverage,7,food_very
Food_and_beverage,7,fruit
Food_and_beverage,7,good_food
Food_and_beverage,7,great_food
Food_and_beverage,7,happy_hour
Food_and_beverage,7,la_carte
Food_and_beverage,7,lunch
Food_and_beverage,7,lunch_dinner
Food_and_beverage,7,meal
Food_and_beverage,7,menu
Food_and_beverage,7,pool_bar
Food_and_beverage,7,pub
Food_and_beverage,7,restaurant
Food_and_beverage,7,restaurant_very
Food_and_beverage,7,restuarant
Food_and_beverage,7,rice
Food_and_beverage,7,seafood
Food_and_beverage,7,taste
Food_and_beverage,7,tasty
Food_and_beverage,7,tea
Food_and_beverage,7,vegetarian
Food_and_beverage,7,vietnamese_food
Food_and_beverage,7,western_food
Food_and_beverage,7,wine
